,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,200105,1114330,5244397,1,20.0,SW,GRENVILLE,36.4,-103.85,,
1,200105,1114330,5244398,1,6.0,S,ABBOTT,36.21667,-104.26666999999999,,
2,200105,1114330,5244399,1,10.0,N,MILLS,36.23333,-104.25,,
3,200105,1114330,5244400,1,2.0,N,SPRINGER,36.4,-104.58333,,
4,200105,1114330,5244401,1,6.0,SE,ROY,35.88333,-104.11667,,
5,200104,1114113,5244031,1,,,O FALLON,38.8,-90.7,,
6,200105,1114300,5244060,1,,,,,,,
7,200105,1114300,5244061,1,,,,,,,
8,200104,1114136,5244249,1,,,GOODLAND ARPT,39.36667,-101.7,,
9,200104,1114136,5244250,1,2.0,E,BREWSTER,39.36667,-101.35,,
10,200104,1114136,5244251,1,5.0,SW,ATWOOD,39.75,-101.11667,,
11,200104,1114136,5244252,1,7.0,NW,ATWOOD,39.86667,-101.15,,
12,200104,1114136,5244253,1,,,LEVANT,39.38333,-101.2,,
13,200104,1114136,5244254,1,10.0,S,COLBY,,,,
14,200104,1114136,5244255,1,,,COLBY,39.4,-101.05,,
15,200106,1115365,5246832,1,2.0,N,NORTHWOOD,43.48333,-93.21667,,
16,200105,1115138,5247036,1,,,,,,,
17,200106,1115370,5246860,1,,,,,,,
18,200106,1115370,5246861,1,,,,,,,
19,200106,1115370,5246862,1,,,,,,,
20,200106,1115370,5246863,1,,,,,,,
21,200106,1115416,5246864,1,,,SUMTER,33.91667,-80.35,,
22,200106,1115537,5246865,1,8.0,S,CHOCTAW,34.45,-96.63333,,
23,200106,1115537,5246866,1,8.0,S,CHOCTAW,35.38333,-97.16667,,
24,200106,1115537,5246867,1,1.0,E,CHOCTAW,35.38333,-97.26666999999999,,
25,200106,1115537,5246868,1,,,TISHOMINGO,35.38333,-97.26666999999999,,
26,200106,1115537,5246869,1,,,CHOCTAW,35.5,-97.25,,
27,200106,1115537,5246870,1,9.0,SSE,CHOCTAW,34.23333,-96.66667,,
